model,block_size_patches,block_size_metres,buffer_patches,buffer_metres,seed,train_rows,test_rows,train_positive_rate,test_positive_rate,pr_auc,roc_auc,top_10_capture
Coordinate-only diagnostic,20,1000,0,0,11,12430,3662,0.2916331456154465,0.13762971054068815,0.6007549257254234,0.8787496104627202,0.46825396825396826
BeetleCast temporal AEF,20,1000,0,0,11,12430,3662,0.2916331456154465,0.13762971054068815,0.8228539069852314,0.9403530464328438,0.628968253968254
Coordinate-only diagnostic,20,1000,10,500,11,7047,3662,0.3168724279835391,0.13762971054068815,0.35490699179434515,0.7851350060818079,0.2837301587301587
BeetleCast temporal AEF,20,1000,10,500,11,7047,3662,0.3168724279835391,0.13762971054068815,0.7027447602221939,0.8796260693426622,0.5337301587301587
Coordinate-only diagnostic,20,1000,0,0,22,11489,4603,0.25528766646357387,0.25983054529654576,0.8396763105390815,0.9190755949044511,0.3520066889632107
BeetleCast temporal AEF,20,1000,0,0,22,11489,4603,0.25528766646357387,0.25983054529654576,0.9209617559772965,0.9660790836886087,0.3795986622073579
Coordinate-only diagnostic,20,1000,10,500,22,5246,4603,0.2304613038505528,0.25983054529654576,0.5948377121136462,0.8119940207697509,0.2709030100334448
BeetleCast temporal AEF,20,1000,10,500,22,5246,4603,0.2304613038505528,0.25983054529654576,0.7923936722540846,0.9150013792182728,0.342809364548495
Coordinate-only diagnostic,20,1000,0,0,33,11629,4463,0.21824748473643477,0.35648666816043023,0.800764825320724,0.9020063457575604,0.23884349465744814
BeetleCast temporal AEF,20,1000,0,0,33,11629,4463,0.21824748473643477,0.35648666816043023,0.9237416347917128,0.9559005303158961,0.2752985543683218
Coordinate-only diagnostic,20,1000,10,500,33,5674,4463,0.21942192456820586,0.35648666816043023,0.6724432527153854,0.8182115319633944,0.21935889377749843
BeetleCast temporal AEF,20,1000,10,500,33,5674,4463,0.21942192456820586,0.35648666816043023,0.808129269632228,0.8721048411240806,0.25769956002514144
Coordinate-only diagnostic,20,1000,0,0,44,12449,3643,0.25994055747449596,0.24512764205325283,0.6182001964093772,0.8658240863280058,0.3045912653975364
BeetleCast temporal AEF,20,1000,0,0,44,12449,3643,0.25994055747449596,0.24512764205325283,0.867722164757865,0.9455669347449863,0.39529675251959684
Coordinate-only diagnostic,20,1000,10,500,44,6984,3643,0.22651775486827033,0.24512764205325283,0.3761157811673984,0.6803485696833962,0.15677491601343785
